Asset Class,current,target,deficit,recommended_invest,post_invest_value
Bitcoin,231205.74,1.0,0.0,0.0,231205.74
Bond / Defensive,256262.63,0.95,0.0,0.0,256262.63
Cash / Liquidity,673620.99,0.2,0.0,0.0,673620.99
DM (US / Dev.),208226.81,0.1,0.0,0.0,208226.81
EM (India / China / VN),146260.38,0.2,0.0,0.0,146260.38
Gold,551027.26,0.3,0.0,0.0,551027.26
Multi-Asset / Satellite,52429.6,1.0,0.0,0.0,52429.6
Satellite / Commodity,205019.0,1.0,0.0,0.0,205019.0
Satellite / Thematic,135257.9,0.4,0.0,0.0,135257.9
Thailand / Legacy,291392.0,0.25,0.0,0.0,291392.0
